基金類型,基金名稱,基金統編,手續費,保管費,經理人姓名,性別,學歷,經理人,期間(月),操作績效(%),台股績效(%),begin_date,end_date
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,尤文毅,男,輔仁大學金融研究所碩士,尤文毅,174,499.52,123.65,2007-02-01,
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,張繼聖,男,中正大學財金研究所碩士,張繼聖,16,61.26,29.94,2005-09-26,2007-01-31
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,張立仁,男,美國紐約理工學院企管碩士,張立仁,6,-22.56,-26.42,2002-04-10,2002-10-20
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,李祖任,男,美國卡內基金美侖大學財務碩士畢業,李祖任,23,-17.74,-30.45,2000-05-16,2002-04-09
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,尤文毅,男,輔仁大學金融研究所碩士,尤文毅,9,52.5,3.77,1999-08-31,2000-05-15
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,林以涵,女,英國瑞汀大學國際金融暨證券投資碩士國立政治大學經濟系,林以涵,21,18.7,3.67,1997-11-05,1999-08-30
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,王田,男,,王田,22,74.67,60.14,1996-01-29,1997-11-04
國內股票開放型一般股票型,統一黑馬基金,92002244,1.4,0.14,呂文輝,男,中密蘇里州大學企管碩士,呂文輝,14,-24.6,-21.6,1994-11-01,1996-01-28
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,南震杰,男,東華大學企管所,南震杰,68,185.54,106.02,2015-12-29,
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,郭家宏,男,"海洋大學航運管理學系
輔仁大學金融研究所",郭家宏,15,2.24,-11.42,2014-09-01,2015-12-28
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,謝學雲,男,中興大學經研所碩士,謝學雲,5,8.32,8.9,2014-03-11,2014-08-31
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,吳龍鎧,,清華大學計量財務金融系,吳龍鎧,17,9.22,12.31,2012-10-01,2014-03-10
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,杜立民,男,田納西州立大學企研所碩士,杜立民,16,-18.77,-14.35,2011-05-01,2012-09-30
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,謝文勝,男,國際經濟研究所碩士,謝文勝,2,0.78,5.46,2011-02-25,2011-04-29
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,陳乃榮,男,東吳大學經濟系,陳乃榮,14,8.22,12.65,2009-12-01,2011-02-24
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,謝學雲,男,中興大學經研所碩士,謝學雲,10,48.26,65.15,2009-01-01,2009-11-30
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,陳信達,男,中正大學企業管理研究所,陳信達,4,-39.91,-37.33,2008-08-12,2008-12-31
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,宋權峰,男,東華大學國際經濟所,宋權峰,6,-6.17,-2.6,2008-02-01,2008-08-11
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,李文宗,男,台灣大學商研所台灣大學機械系,李文宗,24,-18.27,14.86,2006-01-01,2008-01-31
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,黃俊育,男,中興大學合作經濟系,黃俊育,20,21.95,0.4,2004-04-01,2005-12-31
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,劉忠平,男,台灣大學商研所,劉忠平,39,115.9,24.83,2000-12-15,2004-03-31
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,黃俊育,男,中興大學合作經濟系,黃俊育,7,-45.05,-38.25,2000-05-08,2000-12-14
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,季慈心,女,中興大學財稅系,季慈心,50,211.25,74.55,1996-03-16,2000-05-08
國內股票開放型一般股票型,新光台灣富貴基金,00974241,1.5,0.15,李庭蘭,女,,李庭蘭,28,9.69,2.87,1993-04-15,1995-08-18
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,吳文同,男,中央大學產業經濟研究所,吳文同,2,13.68,0.89,2021-06-01,
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,楊聖民,男,美國伊利諾理工學院財務科學所,楊聖民,42,95.92,60.56,2017-11-16,2021-05-31
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,謝學雲,男,中興大學經研所碩士,謝學雲,13,7.37,13.03,2015-12-29,2017-01-31
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,郭家宏,男,"海洋大學航運管理學系
輔仁大學金融研究所",郭家宏,5,-5.98,-6.23,2015-07-13,2015-12-28
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,謝學雲,男,中興大學經研所碩士,謝學雲,8,9.91,-0.68,2014-11-03,2015-07-12
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,林建良,男,東吳大學經濟所,林建良,8,1.64,3.57,2014-03-11,2014-11-02
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,謝文勝,男,國際經濟研究所碩士,謝文勝,14,18.6,12.54,2013-01-01,2014-03-10
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,吳祖望,男,中原大學企管研究所淡江大學企管系,吳祖望,11,3.88,8.87,2012-01-01,2012-12-31
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,阮宏緒,男,中原大學企研所,阮宏緒,8,-23.27,-18.56,2011-04-01,2011-12-30
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,黃郁婷,女,雲林科技大學財務金融所,黃郁婷,4,-0.77,4.78,2010-11-01,2011-03-31
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,南震杰,男,東華大學企管所,南震杰,10,0.0,9.3,2009-12-01,2010-10-31
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,陳乃榮,男,東吳大學經濟系,陳乃榮,23,-29.72,-11.7,2007-12-01,2009-11-30
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,王俊淵,男,政治大學 財務管理學系碩士,王俊淵,7,6.59,8.9,2007-04-02,2007-11-30
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,鄒政杰,男,美國喬治亞華盛頓大學企管碩士,鄒政杰,31,103.97,36.75,2004-09-01,2007-04-01
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,黃俊育,男,中興大學合作經濟系,黃俊育,4,-15.23,-11.6,2004-04-01,2004-08-31
國內股票開放型一般股票型,新光大三通基金,13986924,1.5,0.15,黃植原,男,美國伊利諾大學企管碩士,黃植原,22,30.7,12.31,2002-05-13,2004-03-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,許敬基,男,政治大學中山人文社會科學研究所,許敬基,57,136.17,85.36,2016-11-01,
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,柯淑華,女,淡江大學經濟學系,柯淑華,13,16.19,16.12,2015-09-07,2016-10-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,張雅琇,女,交通大學 工業工程與管理學所碩士,張雅琇,6,-5.7,-16.85,2015-03-02,2015-09-06
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,林界政,男,台灣大學財務金融學研究所,林界政,9,2.19,5.34,2014-06-09,2015-03-01
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,吳昆陽,男,國立交通大學科技管理研究所,吳昆陽,4,13.9,8.91,2014-02-10,2014-06-08
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,林界政,男,台灣大學財務金融學研究所,林界政,20,43.03,14.87,2012-06-01,2014-02-09
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,祝明智,男,美國威斯康辛大學企管碩士,祝明智,8,-6.91,-5.68,2011-09-01,2012-05-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,蔡純芬,女,逢甲大學財金系,蔡純芬,50,17.79,-4.96,2007-06-01,2011-08-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,鄭秀娟,女,銘傳大學管理科學研究所碩士,鄭秀娟,4,10.82,4.11,2007-01-01,2007-05-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,葉映竹,女,政治大學財政研究所政治大學財政學系,葉映竹,2,8.76,11.84,2006-10-31,2006-12-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,陳淑玲,女,華盛頓州州立大學 / MBA,陳淑玲,5,-7.5,-5.09,2006-05-08,2006-10-30
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,陳弘淵,男,東吳大學經濟學碩士,陳弘淵,5,16.15,18.81,2005-12-01,2006-05-07
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,劉培盛,男,中興大學企管研究所碩士,劉培盛,1,0.71,1.39,2005-10-01,2005-11-30
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,葉映竹,女,政治大學財政研究所政治大學財政學系,葉映竹,16,2.32,2.69,2004-05-26,2005-09-30
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,蔡萬達,男,台灣大學機械工程系學士,蔡萬達,29,8.82,34.16,2001-12-01,2004-05-25
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,楊昌桁,男,田納西州立大學財金系碩士,楊昌桁,1,13.8,22.11,2001-10-01,2001-11-30
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,周賢儒,男,"Arizona State University,bachelor of science",周賢儒,7,-44.7,-38.73,2001-02-01,2001-09-30
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,陳靜宜,女,台中商專資管科,陳靜宜,8,-37.68,-32.37,2000-05-01,2001-01-31
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,何文賢,男,台灣大學商研所碩士,何文賢,14,73.1,39.02,1999-02-22,2000-04-30
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,陳姝玲,女,,陳姝玲,7,-35.48,-23.16,1998-07-27,1999-02-21
國內股票開放型一般股票型,野村鴻運基金,00968493,2.0,0.2,何文賢,男,台灣大學商研所碩士,何文賢,125,313.27,,1988-02-03,1998-07-26
國內股票開放型一般股票型,合庫台灣高科技基金,77713842,4.0,0.15,顧克勤,男,美國長島大學企業管理碩士,顧克勤,13,56.0,35.97,2020-07-31,
國內股票開放型一般股票型,國泰台灣高股息基金-A不配息(台幣),88090934A,3.0,0.11,林耕億,男,國立台灣大學國際企業研究所碩士,林耕億,5,28.46,7.94,2021-03-01,
國內股票開放型一般股票型,國泰台灣高股息基金-A不配息(台幣),88090934A,3.0,0.11,章錦正,男,國立台北大學企業管理碩士,章錦正,7,29.3,32.14,2020-07-10,2021-02-28
國內股票開放型一般股票型,國泰台灣高股息基金-B配息(台幣),88090934B,3.0,0.11,林耕億,男,國立台灣大學國際企業研究所碩士,林耕億,5,28.07,7.94,2021-03-01,
國內股票開放型一般股票型,國泰台灣高股息基金-B配息(台幣),88090934B,3.0,0.11,章錦正,男,國立台北大學企業管理碩士,章錦正,7,29.38,32.14,2020-07-10,2021-02-28
國內股票開放型一般股票型,安聯台灣大壩基金-G累積型(台幣),17604124B,4.0,0.15,蕭惠中,女,朝陽科技大學 財務金融碩士,蕭惠中,23,98.91,57.55,2019-09-20,
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,顏克丞,男,國立中正大學國經所,顏克丞,30,105.89,65.72,2019-02-26,
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,施政廷,男,中央大學土木工程學系碩士,施政廷,5,-2.09,-4.88,2018-09-07,2019-02-25
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,曾偉淳,,政治大學財務管理碩士,曾偉淳,24,31.9,19.2,2016-09-10,2018-09-06
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,施政廷,男,中央大學土木工程學系碩士,施政廷,25,12.67,-0.85,2014-08-20,2016-09-09
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,郭經緯,男,國立政治大學會計學系碩士班,郭經緯,2,-4.49,-0.78,2014-06-20,2014-08-19
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,呂健良,男,交通大學環境工程研究所,呂健良,3,3.45,8.37,2014-03-21,2014-06-19
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,陳俊中,男,淡江大學財務金融學系,陳俊中,26,55.98,21.57,2012-01-01,2014-03-20
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,姜振新,男,東吳大學 經濟系,姜振新,12,-12.2,-17.0,2010-12-02,2011-12-31
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,李梅蓮,女,東吳大學經濟系,李梅蓮,11,-9.38,2.31,2010-01-07,2010-12-01
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,賴瑞昌,男,成功大學交管所,賴瑞昌,14,37.48,75.6,2008-11-10,2010-01-06
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,林肇基,男,"成功大學數學系學士
美國University of North Carolina MBA 碩士",林肇基,8,-41.61,-41.89,2008-03-17,2008-11-09
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,黃豐凱,男,逢甲大學土地管理研究所碩士,黃豐凱,0,-2.82,-2.99,2008-03-03,2008-03-16
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,吳嘉明,男,國立成功大學企業管理研究所國立成功大學電機系,吳嘉明,5,-22.16,-11.23,2007-10-01,2008-03-02
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,曲同治,男,台灣大學農業經濟研究所,曲同治,12,42.3,43.33,2006-09-01,2007-09-30
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,溫瑞文,男,台灣大學財務金融研究所碩士,溫瑞文,0,8.54,2.44,2006-08-01,2006-08-31
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,馬騁威,男,國立政治大學金融研究所,馬騁威,3,-5.18,-2.41,2006-04-03,2006-07-31
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,邱翠欣,女,美國堪薩斯州立大學企業管理研究所,邱翠欣,3,4.48,1.0,2006-01-01,2006-04-02
國內股票開放型一般股票型,凱基開創基金,13539952,2.0,0.15,謝靜慧,女,中央大學產業經濟研究所碩士,謝靜慧,50,60.7,86.01,2001-10-08,2005-12-31
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,蔡睿,,台灣大學經濟學系,蔡睿,5,18.75,5.61,2021-03-29,
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,許鈞雄,男,銘傳大學財務金融學系研究所碩士,許鈞雄,51,92.98,78.15,2016-12-30,2021-03-28
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,黃家慶,男,銘傳大學金融所碩士,黃家慶,35,2.93,7.53,2014-01-08,2016-12-29
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,顏維伸,男,英國東倫敦大學財務管理所,顏維伸,13,15.17,12.89,2012-12-24,2014-01-07
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,曾宇皓,男,國立屏東科技大學農企業管理系學士,曾宇皓,21,-31.78,-11.5,2011-03-15,2012-12-23
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,陳智偉,男,逢甲大學經濟學研究所,陳智偉,5,7.41,3.43,2010-10-01,2011-03-14
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,陳孝安,男,美國維吉尼亞大學M.B.A,陳孝安,29,21.6,-4.17,2008-04-07,2010-09-30
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,李家輔,男,倫敦大學倫敦政經學院財會碩士,李家輔,15,-15.0,9.47,2007-01-24,2008-04-06
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,陳智偉,男,逢甲大學經濟學研究所,陳智偉,0,7.37,0.37,2007-01-01,2007-01-23
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,王怡,女,國立清華大學 科技管理高階經營管理碩士,王怡,25,85.24,37.12,2004-11-01,2006-12-31
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,王文運,男,輔仁大學化學系,王文運,19,10.53,28.73,2003-03-01,2004-10-31
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,沈雪萍,女,淡江大學經濟系學士,沈雪萍,4,-13.64,6.25,2002-10-02,2003-02-28
